Geo Point;Geo Shape;nom_equipement;gestionnaire;telephone;site_web;acces_metro;acces_bus;x;y;numero;lib_off;id_secteur_postal;ville;secteur;quartier;jauge_salle_de_spectacle;oid
43.5809716993,1.44761999921;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447619999214681, 43.58097169931445]]}";THEATRE DU PAVE;Association;05 62 26 43 66;www.theatredupave.org;Empalot, Saint-Michel Marcel-Langer, Saint-Agne SNCF (B);34;1574628;2265699;0034;RUE MARAN;31400;TOULOUSE;5;5.3;208 pl;346
43.6094137159,1.43919041265;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439190412648606, 43.609413715869735]]}";THEATRE LE FIL A PLOMB;Association;05 62 30 99 77;www.theatrelefilaplomb.fr;Campans Caffarelli, Jeanne D'Arc (B);ncv, 15, 16, 29, 45, 70;1574006;2268871;0030;RUE DE LA CHAINE;31000;TOULOUSE;1;1.1;70 pl;349
43.5941781501,1.44895634035;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448956340347501, 43.59417815008783]]}";THEATRE SORANO;Mairie de Toulouse - DGA Culture;05 81 91 79 19;www.sorano-julesjulien.toulouse.fr;Carmes, Palais de Justice (B);1, 2, 10, 29, 78, 80;1574763;2267164;0035;ALL JULES GUESDE;31000;TOULOUSE;5;5.3;430 pl;353
43.6482273907,1.43289118512;"{""type"": ""MultiPoint"", ""coordinates"": [[1.432891185117108, 43.64822739066417]]}";CENTRE D'ANIMATION LALANDE;Mairie de Toulouse - DGA Culture;05 61 47 37 55;www.toulouse.fr;La Vache (B);60, 69;1573578;2273192;0239;AV DE FRONTON;31200;TOULOUSE;3;3.2;200 pl;307
43.6142441507,1.47465189762;"{""type"": ""MultiPoint"", ""coordinates"": [[1.474651897622262, 43.614244150692514]]}";CENTRE D'ANIMATION SOUPETARD;Mairie de Toulouse - DGA Culture;05 31 22 99 70;www.toulouse.fr;Jolimont, Roseraie (A);19, 37 Arrêt Dinetard;1576878;2269355;0063;CHE DE HEREDIA;31500;TOULOUSE;4;4.2;100 pl;310
43.5982827889,1.4309154834;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430915483400045, 43.59828278888348]]}";ESPACE SAINT CYPRIEN - CHAPEAU ROUGE;Mairie de Toulouse - DGA Culture;05 61 22 27 77;www.cultures.toulouse.fr;Capitole, Saint-Cyprien-République (A);1, 3, 45, 66 (Arrêt St-Cyprien);1573315;2267647;0056;ALL CHARLES DE FITTE;31300;TOULOUSE;2;2.1;93 pl;320
43.6409238742,1.45006103154;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450061031538747, 43.640923874168195]]}";LE METRONUM;Mairie de Toulouse - DGA Culture;;;Borderouge (B);19 - 26 - 36 - 40 - 41 - 44 - 73 - 114;1574948;2272355;TOUT;RPT MADAME DE MONDONVILLE;31200;TOULOUSE;3;3.3;500 pl;329
43.5612168943,1.46352223507;"{""type"": ""MultiPoint"", ""coordinates"": [[1.463522235071123, 43.56121689427276]]}";SALLE DU CAP - PAUL SABATIER;Autre institution publique;05 61 55 62 63;www.univ-tlse3.fr;Université Paul Sabatier (B), Faculté de Pharmacie (B);;1575872;2263481;0120;RTE DE NARBONNE;31400;TOULOUSE;5;5.2;729 pl;335
43.5641001958,1.41375556072;"{""type"": ""MultiPoint"", ""coordinates"": [[1.413755560717884, 43.56410019583635]]}";SALLE LAFOURGUETTE;Mairie de Toulouse - DGA Culture;05 61 43 60 20;www.lafuorguette.com;;;1571858;2263876;0028;RUE DE GIRONIS;31100;TOULOUSE;6;6.4;262 pl;337
43.622175263,1.40526920552;"{""type"": ""MultiPoint"", ""coordinates"": [[1.405269205522639, 43.622175263040035]]}";THEATRE 2 L'ACTE - LE RING;Association;05 34 51 34 66;www.theatre2lacte.com;;16, 70;1571295;2270340;0151;RTE DE BLAGNAC;31200;TOULOUSE;3;3.2;113 pl;339
43.6392834288,1.45596574196;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455965741956404, 43.6392834288263]]}";THEATRE DE LA VIOLETTE;Association;05 61 73 18 51;www.theatredelaviolette.com;Borderouge (B);19;1575421;2272164;0067;CHE PUJIBET;31200;TOULOUSE;3;3.3;46 pl;340
43.5986199989,1.45393461373;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453934613725936, 43.59861999892441]]}";THEATRE DU GRAND ROND;Association;05 61 62 14 85;www.grand-rond.org;François Verdier (B);1, 10, 16, 22, 27, 29, 78, 80;1575174;2267650;0023;RUE DES POTIERS;31000;TOULOUSE;1;1.3;100 pl;344
43.6040021583,1.4498092741;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449809274098695, 43.60400215831134]]}";THEATRE NATIONAL DE TOULOUSE (TNT);Structure mixte;05 34 45 05 00;www.tnt-cite.com;Jean-Jaurès (A, B);ncv, 14, 16, 22, 29, 38;1574852;2268254;0001;RUE PIERRE BAUDIS;31000;TOULOUSE;1;1.1;888 / 250 / 75 pl;352
43.5653203443,1.47904302605;"{""type"": ""MultiPoint"", ""coordinates"": [[1.479043026052642, 43.56532034432445]]}";CENTRE CULTUREL LEONARD DE VINCI DE L'ENAC - THEATRE DE POCHE;Association;05 62 17 45 00;www.culture-enac.com;Faculté de Pharmacie (B);51, 68, 108;1577134;2263914;0007;AV EDOUARD BELIN;31400;TOULOUSE;5;5.2;200 pl;306
43.6073081711,1.44327066965;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443270669654115, 43.60730817107951]]}";CHAPELLE DES CARMELITES;Mairie de Toulouse - DGA Culture;05 61 21 27 60;www.toulouse.fr;Capitole (A), Jeanne d'Arc (B);ncv, 15, 16, 23, 29, 38, 42, 44, 45, 70;1574331;2268631;0001;RUE DE PERIGORD;31000;TOULOUSE;1;1.1;180 pl;312
43.6163138896,1.4535854924;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453585492400052, 43.61631388956907]]}";ESPACE BONNEFOY;Mairie de Toulouse - DGA Culture;05 67 73 83 60;www.toulouse.fr;Marengo - SNCF (A);38, 42, 44;1575182;2269616;0004;RUE DU FAUBOURG BONNEFOY;31500;TOULOUSE;4;4.1;250 pl;316
43.6212169831,1.40824352057;"{""type"": ""MultiPoint"", ""coordinates"": [[1.408243520573767, 43.62121698308508]]}";SALLE NOUGARO - LAC;Structure commerciale;05 61 93 79 40;www.sallenougaro.com;;16;1571533;2270229;0020;CHE DE GARRIC;31200;TOULOUSE;3;3.2;1500 / 400 pl;338
43.6204431563,1.45405086284;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454050862838722, 43.620443156274376]]}";THEATRE DE POCHE;Association;05 61 48 25 52;http://theatredepoche31.free.fr;SNCF (A);;1575228;2270074;0010;RUE D EL ALAMEIN;31500;TOULOUSE;4;4.1;60 pl;341
43.602726144,1.42533813598;"{""type"": ""MultiPoint"", ""coordinates"": [[1.42533813597846, 43.6027261440108]]}";THEATRE GARONNE;Association;05 62 48 54 77;www.theatregaronne.com;Saint-Cyprien-République (A);1, 45;1572874;2268149;0001;AV DU CHATEAU D EAU;31300;TOULOUSE;2;2.1;255 / 224 /100 pl;348
