N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
381912;ECRAN;2;398;93066;Saint-Denis;FIXE;OUI;OUI
381941;GAUMONT;9;1 513;93066;Saint-Denis;FIXE;NON;OUI
384792;ESPACE CULTUREL LES 26 COULEURS;1;222;77407;Saint-Fargeau-Ponthierry;FIXE;OUI;NON
386864;LES 4 PERRAY;4;728;91549;Sainte-Geneviève-des-Bois;FIXE;NON;OUI
388971;C 2 L;5;742;78551;Saint-Germain-en-Laye;FIXE;OUI;OUI
390452;LES TOILES OLYMPIC;3;371;95555;Saint-Gratien;FIXE;OUI;NON
404603;LE LIDO;1;425;94068;Saint-Maur-des-Fossés;FIXE;OUI;OUI
404612;LES 4 DELTA 4;4;886;94068;Saint-Maur-des-Fossés;FIXE;NON;OUI
406812;CINES CARNE;3;496;91570;Saint-Michel-sur-Orge;FIXE;OUI;OUI
408323;UTOPIA;5;513;95572;Saint-Ouen-l'Aumône;FIXE;OUI;NON
408441;ESPACE 1789;2;683;93070;Saint-Ouen;FIXE;OUI;OUI
422871;STUDIO CINE;2;329;95607;Taverny;FIXE;NON;NON
425503;PATHE BELLE EPINE;16;3 679;94073;Thiais;FIXE;NON;OUI
429132;MEGA CGR;16;2 974;77468;Torcy;FIXE;NON;OUI
432832;CINEMA LE GRENIER A SEL;1;218;78621;Trappes;FIXE;OUI;NON
433972;JACQUES TATI;3;524;93073;Tremblay-en-France;FIXE;OUI;OUI
433975;EUROPACORP CINEMAS AEROVILLE;12;2 380;93073;Tremblay-en-France;FIXE;NON;OUI
437562;UGC LES ULIS;4;600;91692;Les Ulis;FIXE;NON;OUI
439271;LES VARIETES;1;311;77479;Vaires-sur-Marne;FIXE;NON;NON
442002;LE VANVES;1;192;92075;Vanves;FIXE;OUI;NON
442370;CINEMA CONFLUENCES VARENNES;9;1 603;77482;Varennes-sur-Seine;FIXE;NON;OUI
443601;LE NORMANDY;2;295;92076;Vaucresson;FIXE;OUI;NON
444330;L'ANTARES;2;217;95637;Vauréal;FIXE;NON;NON
444791;LA GRANGE;1;268;77487;Vaux-le-Pénil;FIXE;OUI;NON
448802;ESPACE MAURICE BEJART;1;312;78642;Verneuil-sur-Seine;FIXE;NON;NON
449542;ESPACE BERNARD MANTIENNE;2;491;91645;Verrières-le-Buisson;FIXE;NON;NON
449661;UGC CYRANO;8;1 590;78646;Versailles;FIXE;NON;OUI
449702;UGC ROXANE;4;769;78646;Versailles;FIXE;OUI;OUI
450503;CINEMA JEAN MARAIS;1;199;78650;Le Vésinet;FIXE;OUI;NON
455770;LE COLOMBIER;1;279;92077;Ville-d'Avray;FIXE;OUI;NON
456762;CINEMA D ART ROMAIN ROLLAND;1;616;94076;Villejuif;FIXE;NON;OUI
457861;ANDRE MALRAUX;1;212;92078;Villeneuve-la-Garenne;FIXE;NON;NON
457983;ESPACE CULTUREL;1;448;94077;Villeneuve-le-Roi;FIXE;NON;NON
461663;LE CASINO;1;220;94079;Villiers-sur-Marne;FIXE;OUI;NON
462304;CINEMA SORANO;1;204;94080;Vincennes;FIXE;NON;NON
462321;LE VINCENNES;4;481;94080;Vincennes;FIXE;OUI;NON
463353;CALYPSO A;3;551;91687;Viry-Châtillon;FIXE;OUI;NON
463931;3 CINES ROBESPIERRE;3;549;94081;Vitry-sur-Seine;FIXE;OUI;OUI
469245;CINEMA PARADISO;1;214;91691;Yerres;FIXE;OUI;OUI
575001;MEGARAMA;18;3 728;92078;Villeneuve-la-Garenne;FIXE;NON;OUI
718750;KINEPOLIS BRETIGNY;10;1 508;91103;Brétigny-sur-Orge;FIXE;NON;NON
720300;UGC CINE CITE;18;3 702;94028;Créteil;FIXE;NON;OUI
720400;UGC CINE CITE SQY OUEST;16;3 612;78423;Montigny-le-Bretonneux;FIXE;NON;OUI
723600;MEGARAMA;8;1 861;95424;Montigny-lès-Cormeilles;FIXE;NON;NON
